# 12 month-opener 節氣 instants, JPL DE440s via Skyfield (tools/generate_solar_terms.py). year = KST calendar year.
year,term,utc
1938,小暑,1938-07-07T19:31:03Z
1938,立秋,1938-08-08T05:12:21Z
1938,白露,1938-09-08T07:47:47Z
1938,寒露,1938-10-08T23:01:04Z
1938,立冬,1938-11-08T01:48:00Z
1938,大雪,1938-12-07T18:21:39Z
1939,小寒,1939-01-06T05:27:32Z
1939,立春,1939-02-04T17:10:07Z
1939,驚蟄,1939-03-06T11:25:51Z
1939,淸明,1939-04-05T16:37:04Z
1939,立夏,1939-05-06T10:20:44Z
1939,芒種,1939-06-06T14:51:20Z
1939,小暑,1939-07-08T01:18:02Z
1939,立秋,1939-08-08T11:03:09Z
1939,白露,1939-09-08T13:41:44Z
1939,寒露,1939-10-09T04:56:19Z
1939,立冬,1939-11-08T07:43:13Z
1939,大雪,1939-12-08T00:16:43Z
1940,小寒,1940-01-06T11:23:23Z
1940,立春,1940-02-04T23:07:14Z
1940,驚蟄,1940-03-05T17:23:40Z
1940,淸明,1940-04-04T22:34:15Z
1940,立夏,1940-05-05T16:15:58Z
1940,芒種,1940-06-05T20:43:45Z
1940,小暑,1940-07-07T07:07:43Z
1940,立秋,1940-08-07T16:51:11Z
1940,白露,1940-09-07T19:28:55Z
1940,寒露,1940-10-08T10:42:05Z
1940,立冬,1940-11-07T13:26:29Z
1940,大雪,1940-12-07T05:57:34Z
1941,小寒,1941-01-05T17:03:37Z
1941,立春,1941-02-04T04:49:27Z
1941,驚蟄,1941-03-05T23:09:47Z
1941,淸明,1941-04-05T04:24:39Z
1941,立夏,1941-05-05T22:09:34Z
1941,芒種,1941-06-06T02:38:55Z
1941,小暑,1941-07-07T13:02:47Z
1941,立秋,1941-08-07T22:45:35Z
1941,白露,1941-09-08T01:23:32Z
1941,寒露,1941-10-08T16:37:56Z
1941,立冬,1941-11-07T19:23:46Z
1941,大雪,1941-12-07T11:55:42Z
1942,小寒,1942-01-05T23:02:01Z
